wateryear,region,surfdiv,pumping,et,gwstor,model
1986,10,928.7375487,13.19976243,1427.580477,92.35983849,cvhm
1987,10,946.6479374,13.32784786,1419.267584,-153.3969957,cvhm
1988,10,1055.523025,0.231138258,1477.071586,-84.76993402,cvhm
1989,10,1028.755148,10.52397436,1434.88944,-138.9158601,cvhm
1990,10,1002.825611,71.57690467,1435.85091,-169.879177,cvhm
1991,10,880.0068108,167.6749977,1408.316798,-5.123964612,cvhm
1992,10,854.4701247,200.847898,1445.034299,-217.7852466,cvhm
1993,10,929.6545154,4.790679687,1449.501147,178.6056068,cvhm
1994,10,929.3896815,98.37435957,1473.176257,-140.8274102,cvhm
1995,10,881.5403335,0,1369.974602,455.3418927,cvhm
1996,10,864.916473,0.222218109,1435.820432,48.05444972,cvhm
1997,10,966.8056317,0,1393.498654,224.2137398,cvhm
1998,10,658.1990788,0.221357338,1332.166344,776.8061645,cvhm
1999,10,880.2929569,4.090005027,1309.400896,-192.7333092,cvhm
2000,10,878.4550563,2.743209266,1412.596021,-114.6407319,cvhm
2001,10,937.1836343,0,1470.757621,-244.2320676,cvhm
2002,10,1025.422025,28.32769672,1453.298574,-191.4118113,cvhm
2003,10,955.3660469,0.850786594,1483.634768,-121.797107,cvhm
1975,11,642.7944896,2.511261937,898.0546009,-24.33144934,cvhm
1976,11,596.9032857,92.59074307,868.6174785,-170.1427377,cvhm
1977,11,365.8216165,455.9559451,883.6336351,-430.8031209,cvhm
1978,11,652.4765874,55.48207395,955.6495786,138.7429033,cvhm
1979,11,697.3042879,0,901.8161812,72.05935003,cvhm
1980,11,676.3702818,0,887.5007847,114.5833537,cvhm
1981,11,678.2901353,12.1768526,899.3457489,-38.05818916,cvhm
1982,11,528.0380493,1.682811338,949.5316247,154.7473252,cvhm
1983,11,502.070324,0,926.4710875,310.6200984,cvhm
1984,11,643.9406119,8.600082254,864.1137818,-32.7599704,cvhm
1985,11,653.8795272,2.080023901,890.159805,-99.58376882,cvhm
1986,11,618.529153,0.210894175,930.7441219,75.10337388,cvhm
1987,11,642.9513795,18.35302806,885.336253,-130.0895049,cvhm
1988,11,605.2890997,75.25961342,897.0937336,-164.3670956,cvhm
1989,11,656.5402953,59.06632435,919.6180006,-135.4735607,cvhm
1990,11,699.7598645,31.89324853,913.0783876,-121.1052445,cvhm
1991,11,666.1883206,54.24857808,867.795362,-63.84322534,cvhm
1992,11,680.028064,40.80623771,924.5328398,-36.19083517,cvhm
1993,11,608.0809568,34.50533576,890.849363,120.7177339,cvhm
1994,11,619.612908,2.85801683,861.2383005,-79.2471727,cvhm
1995,11,557.048018,23.18334792,840.0342386,226.3021482,cvhm
